Order,PC1,PC2,Position,Zone,Name,Photo,Nationality,Club,Club Logo,Preferred Foot,Overall,Potential,ShortPassing,Volleys,Dribbling,FKAccuracy,LongPassing,SprintSpeed,Agility,ShotPower,Jumping,Stamina,Strength
114,-8.464117606,-1.936172657,LCM,Midfield,Bruno Fernandes,https://cdn.sofifa.org/players/4/19/212198.png,Portugal,Sporting CP,https://cdn.sofifa.org/teams/2/light/237.png,Right,84,88,85,84,83,81,82,76,77,87,72,89,67
115,-0.071892158,7.00001881,CB,Defense,N. Süle,https://cdn.sofifa.org/players/4/19/212190.png,Germany,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,84,90,78,31,42,30,63,84,33,77,38,65,94
116,-6.508911583,-3.881841497,LW,Midfield,A. Martial,https://cdn.sofifa.org/players/4/19/211300.png,France,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,Right,84,90,77,74,87,54,60,89,85,84,74,75,75
117,-8.646479042,-0.129561647,LCM,Midfield,D. Alli,https://cdn.sofifa.org/players/4/19/211117.png,England,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Right,84,90,85,79,83,68,80,76,76,78,67,90,71
118,-7.627279666,2.715345594,CDM,Midfield,Fabinho,https://cdn.sofifa.org/players/4/19/209499.png,Brazil,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,Right,84,88,83,47,76,53,78,72,69,78,75,92,79
119,-3.81592637,4.943802235,LDM,Midfield,Marquinhos,https://cdn.sofifa.org/players/4/19/207865.png,Brazil,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Right,84,89,81,31,59,32,78,76,69,53,86,75,74
120,-5.725309114,3.486306525,CDM,Midfield,William Carvalho,https://cdn.sofifa.org/players/4/19/207566.png,Portugal,Real Betis,https://cdn.sofifa.org/teams/2/light/449.png,Right,84,86,84,50,80,50,86,53,51,59,69,84,90
121,-7.516822201,-0.00300432,CM,Midfield,Jorginho,https://cdn.sofifa.org/players/4/19/205498.png,Italy,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,Right,84,87,89,71,82,76,87,69,80,71,58,79,66
122,-7.147508385,-4.152881353,RM,Midfield,F. Thauvin,https://cdn.sofifa.org/players/4/19/204970.png,France,Olympique de Marseille,https://cdn.sofifa.org/teams/2/light/219.png,Left,84,87,83,74,85,72,76,80,86,83,76,83,66
123,-5.866590978,2.824574317,RB,Defense,Carvajal,https://cdn.sofifa.org/players/4/19/204963.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,84,87,81,34,76,47,71,84,81,64,76,84,74
124,-6.836044325,-4.843045073,ST,Attack,M. Depay,https://cdn.sofifa.org/players/4/19/202556.png,Netherlands,Olympique Lyonnais,https://cdn.sofifa.org/teams/2/light/66.png,Right,84,89,80,74,85,88,74,87,82,87,74,79,80
125,-7.259631349,-4.70286926,LM,Midfield,H. Son,https://cdn.sofifa.org/players/4/19/200104.png,Korea Republic,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Right,84,85,79,79,88,70,64,87,82,86,63,85,63
126,18.43173785,-2.136816521,GK,GoalKeper,A. Lopes,https://cdn.sofifa.org/players/4/19/199482.png,Portugal,Olympique Lyonnais,https://cdn.sofifa.org/teams/2/light/66.png,Left,84,86,32,13,15,14,31,64,67,20,82,36,73
127,-2.610773689,5.18582534,CB,Defense,S. de Vrij,https://cdn.sofifa.org/players/4/19/198176.png,Netherlands,Inter,https://cdn.sofifa.org/teams/2/light/44.png,Right,84,86,71,27,63,16,71,69,61,65,76,66,80
128,18.83479256,-2.455408182,GK,GoalKeper,M. Perin,https://cdn.sofifa.org/players/4/19/198009.png,Italy,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,84,89,33,19,19,13,31,56,70,23,75,30,52
129,-8.265868695,-1.578000024,RAM,Midfield,J. Cuadrado,https://cdn.sofifa.org/players/4/19/193082.png,Colombia,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,84,84,80,70,90,69,69,93,91,84,75,78,61
130,-6.335544516,-5.037864608,ST,Attack,Iago Aspas,https://cdn.sofifa.org/players/4/19/192629.png,Spain,RC Celta,https://cdn.sofifa.org/teams/2/light/450.png,Left,84,84,79,83,86,76,64,78,87,79,68,75,60
131,18.7081551,-1.573571231,GK,GoalKeper,B. Leno,https://cdn.sofifa.org/players/4/19/192563.png,Germany,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,Right,84,87,45,10,16,8,40,52,52,23,73,43,68
132,-6.61466888,3.096298407,CDM,Midfield,N. Mati?,https://cdn.sofifa.org/players/4/19/191202.png,Serbia,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,Left,84,84,84,73,80,67,83,59,44,83,67,84,85
133,20.01761132,-1.631731664,GK,GoalKeper,L. Hrádecký,https://cdn.sofifa.org/players/4/19/190941.png,Finland,Bayer 04 Leverkusen,https://cdn.sofifa.org/teams/2/light/32.png,Right,84,84,15,9,10,15,20,44,43,14,69,34,55
134,-7.208257355,0.887708397,RDM,Midfield,Illarramendi,https://cdn.sofifa.org/players/4/19/190584.png,Spain,Real Sociedad,https://cdn.sofifa.org/teams/2/light/457.png,Right,84,84,86,58,78,68,82,57,71,69,63,77,68
135,-7.030955887,2.01255115,RB,Defense,K. Walker,https://cdn.sofifa.org/players/4/19/188377.png,England,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,84,84,78,57,79,71,67,93,67,86,83,89,75
136,-7.95765806,-0.811413544,CM,Midfield,I. Gündo?an,https://cdn.sofifa.org/players/4/19/186942.png,Germany,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,84,84,88,75,85,74,83,68,78,77,61,69,72
137,-6.450875107,-3.832289053,RM,Midfield,José Callejón,https://cdn.sofifa.org/players/4/19/185020.png,Spain,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,Right,84,84,80,84,82,65,51,89,85,78,73,91,55
138,-7.415197128,-3.598707571,RM,Midfield,A. Di María,https://cdn.sofifa.org/players/4/19/183898.png,Argentina,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Left,84,84,82,77,86,82,79,84,92,83,72,73,60
139,-6.581932486,0.89251874,ST,Attack,M. Mandžuki?,https://cdn.sofifa.org/players/4/19/181783.png,Croatia,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,84,84,75,86,76,49,67,73,67,80,85,83,85
140,-6.939283995,-3.9161337,RW,Midfield,Willian,https://cdn.sofifa.org/players/4/19/180403.png,Brazil,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,Right,84,84,80,59,88,83,77,86,89,79,41,85,60
141,18.57369781,-2.034925657,GK,GoalKeper,Sergio Asenjo,https://cdn.sofifa.org/players/4/19/178750.png,Spain,Villarreal CF,https://cdn.sofifa.org/teams/2/light/483.png,Right,84,85,39,15,15,22,39,54,62,24,73,41,73
142,-7.880072093,-0.910222006,CDM,Midfield,E. Banega,https://cdn.sofifa.org/players/4/19/178562.png,Argentina,Sevilla FC,https://cdn.sofifa.org/teams/2/light/481.png,Right,84,84,88,65,84,81,87,64,79,74,57,74,67
143,-8.551616949,1.635389877,LCM,Midfield,A. Witsel,https://cdn.sofifa.org/players/4/19/177413.png,Belgium,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,Right,84,84,89,77,78,68,79,74,78,78,76,86,82
144,-6.643861458,-4.519682848,CAM,Midfield,D. Payet,https://cdn.sofifa.org/players/4/19/177388.png,France,Olympique de Marseille,https://cdn.sofifa.org/teams/2/light/219.png,Right,84,84,84,77,86,84,80,72,79,80,48,73,72
145,-6.31983752,-4.441844116,ST,Attack,Jonas,https://cdn.sofifa.org/players/4/19/176769.png,Brazil,SL Benfica,https://cdn.sofifa.org/teams/2/light/234.png,Right,84,84,76,85,84,77,75,64,77,84,69,66,63
146,-1.860712012,5.313865009,RCB,Defense,Sokratis,https://cdn.sofifa.org/players/4/19/172879.png,Greece,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,Right,84,84,60,46,58,35,51,73,60,77,86,69,86
147,19.14720593,-1.57303265,GK,GoalKeper,S. Ruffier,https://cdn.sofifa.org/players/4/19/167628.png,France,AS Saint-Étienne,https://cdn.sofifa.org/teams/2/light/1819.png,Right,84,84,33,13,12,12,34,50,51,21,72,37,76
148,-5.755141182,-3.144393848,RS,Attack,Falcao,https://cdn.sofifa.org/players/4/19/167397.png,Colombia,AS Monaco,https://cdn.sofifa.org/teams/2/light/69.png,Right,84,84,79,84,75,73,58,66,76,79,91,68,75
149,18.15386238,-2.35574711,GK,GoalKeper,K. Schmeichel,https://cdn.sofifa.org/players/4/19/163587.png,Denmark,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,Right,84,84,44,15,12,15,46,60,62,36,60,34,64
150,-1.90236604,5.840601898,RCB,Defense,Raúl Albiol,https://cdn.sofifa.org/players/4/19/157481.png,Spain,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,Right,84,84,74,31,59,45,72,53,53,65,77,55,82
151,-7.111351332,-5.56971298,LS,Attack,A. Gómez,https://cdn.sofifa.org/players/4/19/143076.png,Argentina,Atalanta,https://cdn.sofifa.org/teams/2/light/39.png,Right,84,84,82,72,89,79,74,86,92,76,70,75,48
152,-1.804244111,5.616862158,CB,Defense,A. Barzagli,https://cdn.sofifa.org/players/4/19/137186.png,Italy,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,84,84,65,35,64,31,65,77,52,54,81,53,83
153,-5.921877928,-6.47659079,RM,Midfield,Quaresma,https://cdn.sofifa.org/players/4/19/20775.png,Portugal,Be?ikta? JK,https://cdn.sofifa.org/teams/2/light/327.png,Right,84,84,79,80,89,73,75,82,91,79,63,65,55
154,-6.490780079,-5.492585463,RM,Midfield,A. Robben,https://cdn.sofifa.org/players/4/19/9014.png,Netherlands,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Left,84,84,82,86,89,81,71,76,87,86,60,64,67
155,-6.355632781,-5.766449912,RW,Midfield,O. Dembélé,https://cdn.sofifa.org/players/4/19/231443.png,France,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Left,83,92,78,76,90,64,70,92,90,83,59,73,46
156,-6.56424612,-4.505516811,ST,Attack,Gabriel Jesus,https://cdn.sofifa.org/players/4/19/230666.png,Brazil,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,83,92,76,72,86,54,66,85,92,78,77,84,68
157,-6.866542832,-4.528494954,RW,Midfield,Ronaldo Cabrais,https://cdn.sofifa.org/players/4/19/230481.png,Brazil,Grêmio,https://cdn.sofifa.org/teams/2/light/1629.png,Right,83,83,83,76,85,78,82,87,85,82,64,86,70
158,-2.727856756,4.474233604,LCB,Defense,Josué Chiamulera,https://cdn.sofifa.org/players/4/19/230375.png,Brazil,Grêmio,https://cdn.sofifa.org/teams/2/light/1629.png,Right,83,83,74,44,56,49,61,78,77,53,69,76,73
159,-3.430898332,-3.137729204,ST,Attack,Louri Beretta,https://cdn.sofifa.org/players/4/19/230294.png,Brazil,Atlético Mineiro,https://cdn.sofifa.org/teams/2/light/1035.png,Right,83,83,73,82,75,67,47,83,55,85,84,56,87
160,-3.799143493,4.597953434,LCB,Defense,P. Kimpembe,https://cdn.sofifa.org/players/4/19/225850.png,France,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Left,83,89,79,33,58,32,75,78,74,55,77,80,84
161,-7.423153151,-1.65940681,CM,Midfield,N. Keïta,https://cdn.sofifa.org/players/4/19/220971.png,Guinea,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,Right,83,88,88,71,88,70,78,60,89,76,53,82,58
162,-7.851753371,1.114907423,CM,Midfield,C. Tolisso,https://cdn.sofifa.org/players/4/19/219683.png,France,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,83,88,84,62,77,73,86,66,75,82,90,87,77
163,-8.019744625,-2.65952704,LM,Midfield,T. Lemar,https://cdn.sofifa.org/players/4/19/213565.png,France,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Left,83,89,84,78,85,81,75,84,87,79,71,79,63
164,-5.545670968,-6.376396867,LM,Midfield,K. Coman,https://cdn.sofifa.org/players/4/19/213345.png,France,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,83,87,77,77,88,70,63,93,87,77,75,76,61
165,-0.622786052,6.576720065,CB,Defense,J. Tah,https://cdn.sofifa.org/players/4/19/213331.png,Germany,Bayer 04 Leverkusen,https://cdn.sofifa.org/teams/2/light/32.png,Right,83,88,74,24,55,27,69,77,48,44,72,63,93
166,-7.349080099,-2.035927917,CAM,Midfield,Anderson Talisca,https://cdn.sofifa.org/players/4/19/212523.png,Brazil,Guangzhou Evergrande Taobao FC,https://cdn.sofifa.org/teams/2/light/111839.png,Left,83,90,81,76,82,87,79,76,76,84,58,76,72
167,-5.414605111,-4.395526301,RW,Midfield,T. Werner,https://cdn.sofifa.org/players/4/19/212188.png,Germany,RB Leipzig,https://cdn.sofifa.org/teams/2/light/112172.png,Right,83,87,77,82,83,56,55,93,81,74,78,83,59
168,-7.757417636,1.253324749,CM,Midfield,A. Rabiot,https://cdn.sofifa.org/players/4/19/210008.png,France,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Left,83,87,85,72,79,59,83,74,79,80,73,82,80
169,-8.202271377,0.737128088,CM,Midfield,L. Goretzka,https://cdn.sofifa.org/players/4/19/209658.png,Germany,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,83,88,84,68,81,75,79,79,76,77,67,86,70
170,-6.771967304,-5.096402919,RM,Midfield,Q. Promes,https://cdn.sofifa.org/players/4/19/208808.png,Netherlands,Sevilla FC,https://cdn.sofifa.org/teams/2/light/481.png,Right,83,84,78,69,84,76,73,91,87,82,82,83,61
171,-7.546486453,-2.651838887,RAM,Midfield,H. Ziyech,https://cdn.sofifa.org/players/4/19/208670.png,Morocco,Ajax,https://cdn.sofifa.org/teams/2/light/245.png,Left,83,86,86,77,83,78,89,74,85,80,38,86,59
172,-6.877210126,-3.466431951,RW,Midfield,Lucas Vázquez,https://cdn.sofifa.org/players/4/19/208618.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,83,83,83,54,82,75,75,79,79,82,68,90,57
173,-6.196954087,-4.648728665,LM,Midfield,Y. Carrasco,https://cdn.sofifa.org/players/4/19/208418.png,Belgium,Dalian YiFang FC,https://cdn.sofifa.org/teams/2/light/112378.png,Right,83,86,77,68,88,78,71,87,88,84,68,74,59
174,-5.034062155,-2.803265652,LS,Attack,Gerard Moreno,https://cdn.sofifa.org/players/4/19/208093.png,Spain,Villarreal CF,https://cdn.sofifa.org/teams/2/light/483.png,Left,83,85,78,79,78,56,56,80,70,81,72,72,74
175,-1.675135047,5.947628961,RCB,Defense,Felipe,https://cdn.sofifa.org/players/4/19/207863.png,Brazil,FC Porto,https://cdn.sofifa.org/teams/2/light/236.png,Right,83,83,74,44,57,30,67,67,52,46,90,78,86
176,-7.887446523,-0.800206299,LCM,Midfield,M. Kova?i?,https://cdn.sofifa.org/players/4/19/207410.png,Croatia,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,Right,83,89,87,76,88,68,82,74,81,79,63,82,65
177,19.0515593,-2.014194033,GK,GoalKeper,Kepa,https://cdn.sofifa.org/players/4/19/206585.png,Spain,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,Right,83,91,32,18,10,19,36,33,41,25,71,37,51
178,-7.479644875,-0.438180058,RCM,Midfield,Manu Trigueros,https://cdn.sofifa.org/players/4/19/206545.png,Spain,Villarreal CF,https://cdn.sofifa.org/teams/2/light/483.png,Right,83,84,86,63,80,69,83,65,76,81,77,77,63
179,-6.44846649,-4.053935148,ST,Attack,S. Gnabry,https://cdn.sofifa.org/players/4/19/206113.png,Germany,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,83,88,79,83,87,62,68,90,87,85,64,68,68
180,17.50136926,-2.697776397,GK,GoalKeper,J. Pickford,https://cdn.sofifa.org/players/4/19/204935.png,England,Everton,https://cdn.sofifa.org/teams/2/light/7.png,Left,83,88,55,20,14,16,55,44,55,31,72,45,70
181,-0.401800222,6.215674635,CB,Defense,S. Savi?,https://cdn.sofifa.org/players/4/19/204639.png,Montenegro,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Right,83,86,72,27,47,28,69,61,61,43,87,58,77
182,-4.00587417,4.490694428,RCB,Defense,J. Stones,https://cdn.sofifa.org/players/4/19/203574.png,England,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,83,87,81,27,69,29,74,71,61,46,75,79,77
183,-5.820972977,-6.101762703,RW,Midfield,Suso,https://cdn.sofifa.org/players/4/19/202651.png,Spain,Milan,https://cdn.sofifa.org/teams/2/light/47.png,Left,83,86,86,72,88,80,75,77,86,78,50,77,56
184,-7.621005086,-2.798053278,CM,Midfield,J. Draxler,https://cdn.sofifa.org/players/4/19/202166.png,Germany,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Right,83,86,84,84,88,76,79,77,80,86,75,69,66
185,-7.258410729,-3.109410125,LM,Midfield,Felipe Anderson,https://cdn.sofifa.org/players/4/19/201995.png,Brazil,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,Right,83,85,80,68,90,69,74,89,89,83,38,72,53
186,-6.648764394,-4.004289371,RM,Midfield,Lucas Moura,https://cdn.sofifa.org/players/4/19/200949.png,Brazil,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Right,83,84,77,70,88,74,74,90,94,79,77,75,59
187,-5.824004949,3.377039541,CDM,Midfield,Danilo Pereira,https://cdn.sofifa.org/players/4/19/200888.png,Portugal,FC Porto,https://cdn.sofifa.org/teams/2/light/236.png,Right,83,86,82,55,76,53,79,68,58,76,67,83,89
188,-3.141546867,4.542189468,CB,Defense,Nacho Fernández,https://cdn.sofifa.org/players/4/19/200724.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,83,85,80,38,55,37,61,79,60,54,81,78,79
189,19.55570099,-1.532119993,GK,GoalKeper,T. Horn,https://cdn.sofifa.org/players/4/19/200316.png,Germany,1. FC Köln,https://cdn.sofifa.org/teams/2/light/31.png,Left,83,87,35,14,20,15,32,51,50,22,64,31,67
190,-8.155489357,1.613699454,RCM,Midfield,Allan,https://cdn.sofifa.org/players/4/19/199914.png,Brazil,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,Right,83,83,85,56,82,49,77,74,82,70,70,95,77
191,-2.845396067,5.380260464,CB,Defense,F. Acerbi,https://cdn.sofifa.org/players/4/19/199845.png,Italy,Lazio,https://cdn.sofifa.org/teams/2/light/46.png,Left,83,83,73,39,65,56,77,55,33,75,68,81,83
192,-7.42254701,0.89685655,RB,Defense,Sergi Roberto,https://cdn.sofifa.org/players/4/19/199564.png,Spain,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Right,83,86,86,50,78,60,78,79,69,65,47,85,69
193,-6.240165021,-3.529448525,ST,Attack,Rodrigo,https://cdn.sofifa.org/players/4/19/198329.png,Spain,Valencia CF,https://cdn.sofifa.org/teams/2/light/461.png,Left,83,84,78,77,82,67,58,91,84,83,78,78,72
194,-7.625913047,-1.86478718,LCM,Midfield,Pizzi,https://cdn.sofifa.org/players/4/19/197965.png,Portugal,SL Benfica,https://cdn.sofifa.org/teams/2/light/234.png,Right,83,83,83,77,80,76,84,73,77,75,67,86,59
195,-7.058534421,-1.808121946,LCM,Midfield,K. Kampl,https://cdn.sofifa.org/players/4/19/195365.png,Slovenia,RB Leipzig,https://cdn.sofifa.org/teams/2/light/112172.png,Right,83,83,84,68,86,75,79,71,91,69,67,88,47
196,18.72189318,-1.705874539,GK,GoalKeper,Neto,https://cdn.sofifa.org/players/4/19/194404.png,Brazil,Valencia CF,https://cdn.sofifa.org/teams/2/light/461.png,Right,83,84,36,12,19,13,41,49,59,28,80,39,63
197,19.45424385,-1.176499455,GK,GoalKeper,O. Baumann,https://cdn.sofifa.org/players/4/19/193698.png,Germany,TSG 1899 Hoffenheim,https://cdn.sofifa.org/teams/2/light/10029.png,Right,83,84,30,11,19,11,25,51,45,21,73,39,69
198,-6.397076199,2.725161761,RDM,Midfield,I. Gueye,https://cdn.sofifa.org/players/4/19/193474.png,Senegal,Everton,https://cdn.sofifa.org/teams/2/light/7.png,Right,83,83,80,32,75,61,72,72,80,80,87,89,70
199,-7.388680207,-3.014718638,RM,Midfield,H. Mkhitaryan,https://cdn.sofifa.org/players/4/19/192883.png,Armenia,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,Right,83,83,80,81,84,64,71,78,87,85,69,83,62
200,-7.870383588,1.84896185,LB,Defense,Marcos Alonso,https://cdn.sofifa.org/players/4/19/192638.png,Spain,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,Left,83,84,84,70,79,86,73,76,64,84,71,90,76
201,19.03292374,-1.623204404,GK,GoalKeper,D. Subaši?,https://cdn.sofifa.org/players/4/19/192593.png,Croatia,AS Monaco,https://cdn.sofifa.org/teams/2/light/69.png,Right,83,83,24,13,11,57,26,54,42,24,75,32,80
202,1.085586775,7.502589316,RCB,Defense,K. Glik,https://cdn.sofifa.org/players/4/19/190547.png,Poland,AS Monaco,https://cdn.sofifa.org/teams/2/light/69.png,Right,83,83,63,17,51,26,59,52,34,57,81,67,90
203,-7.681259727,1.69485442,CDM,Midfield,K. Strootman,https://cdn.sofifa.org/players/4/19/189712.png,Netherlands,Olympique de Marseille,https://cdn.sofifa.org/teams/2/light/219.png,Left,83,83,87,63,75,70,84,66,65,81,53,79,81
204,-2.635809966,-0.382380588,ST,Attack,B. Dost,https://cdn.sofifa.org/players/4/19/189068.png,Netherlands,Sporting CP,https://cdn.sofifa.org/teams/2/light/237.png,Right,83,83,73,85,68,30,37,54,32,82,51,82,92
205,-6.457044839,-3.481690831,LCM,Midfield,Oscar,https://cdn.sofifa.org/players/4/19/188152.png,Brazil,Shanghai SIPG FC,https://cdn.sofifa.org/teams/2/light/112540.png,Right,83,84,86,63,78,75,82,72,86,80,64,76,38
206,-5.138200215,-4.236877405,LS,Attack,M. Balotelli,https://cdn.sofifa.org/players/4/19/186627.png,Italy,OGC Nice,https://cdn.sofifa.org/teams/2/light/72.png,Right,83,83,78,78,81,78,66,82,71,89,74,66,86
207,-5.381313423,3.642493756,LCB,Defense,Luiz Gustavo,https://cdn.sofifa.org/players/4/19/185221.png,Brazil,Olympique de Marseille,https://cdn.sofifa.org/teams/2/light/219.png,Left,83,83,79,54,68,60,77,64,65,80,76,85,81
208,-6.855871999,-3.557101049,CAM,Midfield,Giuliano,https://cdn.sofifa.org/players/4/19/184942.png,Brazil,Al Nassr,https://cdn.sofifa.org/teams/2/light/112139.png,Right,83,83,82,65,84,71,79,79,85,78,61,82,74
209,-5.532248065,2.961817521,LCB,Defense,David Luiz,https://cdn.sofifa.org/players/4/19/179944.png,Brazil,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,Right,83,83,77,63,66,76,77,62,69,79,78,66,79
210,19.71765762,-0.410668241,GK,GoalKeper,R. Fährmann,https://cdn.sofifa.org/players/4/19/179783.png,Germany,FC Schalke 04,https://cdn.sofifa.org/teams/2/light/34.png,Right,83,84,25,11,15,11,26,47,39,24,72,32,79
211,-6.33293948,-5.41701812,RM,Midfield,Juan Mata,https://cdn.sofifa.org/players/4/19/178088.png,Spain,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,Left,83,83,85,71,82,86,79,62,84,75,70,71,37
212,19.02157828,-1.056811323,GK,GoalKeper,Adán,https://cdn.sofifa.org/players/4/19/178086.png,Spain,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Left,83,83,34,15,12,12,43,54,55,25,71,32,77
213,18.41294352,-2.029370957,GK,GoalKeper,Rui Patrício,https://cdn.sofifa.org/players/4/19/178005.png,Portugal,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,Left,83,83,31,17,20,16,30,57,61,38,79,45,77
214,18.51471424,-2.328593667,GK,GoalKeper,Y. Sommer,https://cdn.sofifa.org/players/4/19/177683.png,Switzerland,Borussia Mönchengladbach,https://cdn.sofifa.org/teams/2/light/23.png,Right,83,84,40,8,15,13,31,54,55,23,73,45,68
215,-4.230503596,5.311110873,CDM,Midfield,Javi Martínez,https://cdn.sofifa.org/players/4/19/177610.png,Spain,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,83,83,77,58,60,45,74,53,53,76,85,74,84
216,-6.151879336,3.433344911,RB,Defense,L. Bender,https://cdn.sofifa.org/players/4/19/177457.png,Germany,Bayer 04 Leverkusen,https://cdn.sofifa.org/teams/2/light/32.png,Right,83,83,79,57,72,47,74,67,65,74,77,86,76
217,-7.004205767,1.966504071,LDM,Midfield,Lucas Leiva,https://cdn.sofifa.org/players/4/19/176266.png,Brazil,Lazio,https://cdn.sofifa.org/teams/2/light/46.png,Right,83,83,82,59,77,47,81,67,78,77,82,80,67
218,19.08254168,-1.765358327,GK,GoalKeper,S. Mandanda,https://cdn.sofifa.org/players/4/19/163705.png,France,Olympique de Marseille,https://cdn.sofifa.org/teams/2/light/219.png,Right,83,83,37,13,15,12,28,43,52,24,74,31,61
219,-6.518364481,-1.583642053,CM,Midfield,Cesc Fàbregas,https://cdn.sofifa.org/players/4/19/162895.png,Spain,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,Right,83,83,90,81,79,81,89,54,62,77,63,56,61
220,-7.667575622,1.388808439,CM,Midfield,M. Dembélé,https://cdn.sofifa.org/players/4/19/162240.png,Belgium,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Left,83,83,86,73,89,55,80,72,79,81,75,70,89
221,-5.824554578,-6.076247978,LM,Midfield,F. Ribéry,https://cdn.sofifa.org/players/4/19/156616.png,France,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,83,83,83,79,84,81,74,78,84,75,34,58,60
222,19.46337815,-1.448355264,GK,GoalKeper,R. Jarstein,https://cdn.sofifa.org/players/4/19/104389.png,Norway,Hertha BSC,https://cdn.sofifa.org/teams/2/light/166.png,Right,83,83,34,16,11,14,34,46,35,21,59,31,70
223,-6.058210331,3.156089063,RDM,Midfield,D. De Rossi,https://cdn.sofifa.org/players/4/19/53302.png,Italy,Roma,https://cdn.sofifa.org/teams/2/light/52.png,Right,83,83,81,74,64,71,80,67,64,81,77,74,81
224,18.9677963,-1.744240538,GK,GoalKeper,Pepe Reina,https://cdn.sofifa.org/players/4/19/24630.png,Spain,Milan,https://cdn.sofifa.org/teams/2/light/47.png,Right,83,83,19,11,10,11,22,63,50,24,73,34,72
225,20.43288604,-1.353408624,GK,GoalKeper,J. Pavlenka,https://cdn.sofifa.org/players/4/19/236583.png,Czech Republic,SV Werder Bremen,https://cdn.sofifa.org/teams/2/light/38.png,Right,82,85,28,19,12,14,17,37,39,21,36,20,68
226,-3.926594251,4.232384236,RCB,Defense,M. de Ligt,https://cdn.sofifa.org/players/4/19/235243.png,Netherlands,Ajax,https://cdn.sofifa.org/teams/2/light/245.png,Right,82,91,75,40,65,55,72,72,56,79,80,74,87
227,-6.546784415,1.544776741,CM,Midfield,Rodri,https://cdn.sofifa.org/players/4/19/231866.png,Spain,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Right,82,87,83,59,77,54,80,66,69,70,69,86,75
228,-7.403116847,-0.444822091,LCM,Midfield,Arthur,https://cdn.sofifa.org/players/4/19/230658.png,Brazil,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Right,82,90,85,63,82,60,80,70,79,76,83,78,62
